Index,website_text
1,"I was admitted on an Emergency on Saturday (chest pains, etc...). As usual, the people working in every A&E, as well as the ambulance service are mavericks, geniuses, kind, but I still had to wait six hours to get some time with a doctor. Probably half the nurses (and some of the doctors) were immigrants, you know, the kind we want to kick out of the country (like the 22,000 that have already left! in an insane populist rampage (and before anyone says points systems, I assure you that Visas are design to deter immigration, not promote it)."
2,"Boris Johnson makes Theresa May look like Winston Churchill. I absolutely can’t stand Jeremy Corbyn. Jo Swinson, you are unconvincing at best, alienating to most."
3,"I really hope after this election we get a new breed of politicians that care less about the Brexit wishes of the elite, the populist rampage, and more about what people need. In the meanwhile, I’m voting tactically and hoping that between the SNP, the LibDems, and the sane part of Labour this country can move forward, and also force the conservatives too bring better leadership. Or at least one that knows how many children they have...."
4,To give a counter (but as a Conservative hater) I went  to A&E with chest pains and was seen very quickly.
5,Because I was having a heart attack.
6,I didn't leave hospital for nearly three more weeks as I was prioritised for a bypass operation.
7,"I always say, if they're slow at A&E it's because your problem has been triaged as relatively non-urgent. It may be unpleasant for you, but it's better they put their most resource into those who are really, genuinely sick."
8,But fuck Boris.
9,"Ouch- I'm sorry to hear about that heart attack!  As an American whose family has gone through that, please let me offer some advice."
10,"I assume you asked the ambulance to take you to an 'in network hospital, even if it was further away.  This will limit your expenses to whatever your insurance's out-of-pocket annual max is.  Mine's around 5k for an individual, 12kish or so for the family.  Note: expect a huge bill that insurance won't want to cover for the ambulance.  Mine was around $500 for the pickup and like $75 a mile or something after that.  I forget exactly, but I ended up owing around $1000 to the city for that.  That was a surprise!"
11,"Be aware- even in network hospitals will use out-of-network  labs, surgeons, etc...   So you'll receive bills from many, many different places.  So also look at your out-of-network max (usually a few thousand more than the in-network) and expect to be billed that in addition to the in-network."
12,"After 4-6 months of getting all the bills, you should be able to work all the individual providers to get them grouped into the 'in network' bundle as the actual facility was in-network and they have to abide by that.  They won't want to, they'll drag their feet. But be very very persistent.  You'll still need to pay each one individually, but at the much lower rates."
13,"Eventually, when the dust settles, you'll owe many, many of thousands of dollars out of pocket.   This is where you need to understand who can be negotiated with.  Understand which will offer you discounts to pay in full, and which will offer you payment plans.  Also, some will send it to collections agencies that will let you settle for a fraction of the price."
14,"Be wary of independent labs.  They are the worst to deal with it seems and will send you to collections and destroy your credit right away, limiting your ability to buy a house, car, etc...  Even if they are wrong and should be charging you the in-network rates and using the in-network cap for you max expenses, it might be worth just paying the extra few hundred/thousand to get them of your back."
15,"If you need post-hospital treatment, see if you can possibly get it squeezed into that calendar year.  Otherwise your annual cap kicks in again and you'll own another $xx,000."
